MD-511,Mid-Shore Regional CoC,144,122,16,138,6,85,72,7,79,6,59,50,9,59,0,16,13,3,16,0,8,7,7,1
MD-512,Hagerstown/Washington County CoC,137,99,11,110,27,60,42,11,53,7,77,57,0,57,20,28,21,0,21,7,19,15,15,4
MD-513,"Wicomico, Somerset, Worcester Counties CoC",283,162,78,240,43,202,124,35,159,43,81,38,43,81,0,34,15,19,34,0,55,37,37,18
MD-600,Prince George's County CoC,853,348,423,771,82,419,167,170,337,82,434,181,253,434,0,121,53,68,121,0,107,57,57,50
MD-601,Montgomery County CoC,"1,247",677,443,"1,120",127,721,402,192,594,127,526,275,251,526,0,168,90,78,168,0,173,136,136,37
ME-500,Maine Statewide CoC,"2,444",843,"1,563","2,406",38,"1,124",555,537,"1,092",32,"1,320",288,"1,026","1,314",6,445,99,344,443,2,186,178,178,8
MI-500,Michigan Balance of State CoC,"2,953",913,"1,118","2,031",922,"1,151",355,261,616,535,"1,802",558,857,"1,415",387,619,208,284,492,127,211,130,130,81
MI-501,Detroit CoC,"3,694","2,058","1,374","3,432",262,"2,969","1,751",956,"2,707",262,725,307,418,725,0,230,93,137,230,0,446,369,369,77
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",428,179,243,422,6,159,81,72,153,6,269,98,171,269,0,68,25,43,68,0,26,24,24,2
MI-503,"St. Clair Shores, Warren/Macomb County CoC",877,240,52,292,585,589,204,46,250,339,288,36,6,42,246,86,13,2,15,71,259,85,85,174
MI-504,"Pontiac, Royal Oak/Oakland County CoC",661,101,280,381,280,419,50,127,177,242,242,51,153,204,38,78,15,51,66,12,58,44,44,14
MI-505,Flint/Genesee County CoC,275,156,37,193,82,154,86,8,94,60,121,70,29,99,22,39,23,8,31,8,56,21,21,35
MI-506,"Grand Rapids, Wyoming/Kent County CoC",868,334,500,834,34,390,231,135,366,24,478,103,365,468,10,172,36,131,167,5,142,118,118,24
MI-507,"Portage, Kalamazoo City & County CoC",985,395,576,971,14,426,267,145,412,14,559,128,431,559,0,166,44,122,166,0,38,33,33,5
MI-508,"Lansing, East Lansing/Ingham County CoC",416,239,157,396,20,225,131,74,205,20,191,108,83,191,0,61,33,28,61,0,131,123,123,8
MI-509,Washtenaw County CoC,342,214,93,307,35,210,133,44,177,33,132,81,49,130,2,37,21,15,36,1,60,38,38,22
MI-510,Saginaw City & County CoC,305,111,167,278,27,176,61,88,149,27,129,50,79,129,0,43,22,21,43,0,71,57,57,14
MI-511,Lenawee County CoC,114,63,46,109,5,29,22,5,27,2,85,41,41,82,3,26,14,11,25,1,7,7,7,0
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",281,108,171,279,2,133,96,35,131,2,148,12,136,148,0,62,5,57,62,0,21,19,19,2
MI-513,"Marquette, Alger Counties CoC",68,26,37,63,5,28,19,4,23,5,40,7,33,40,0,14,3,11,14,0,3,3,3,0
MI-514,Battle Creek/Calhoun County CoC,238,98,87,185,53,176,62,66,128,48,62,36,21,57,5,21,14,6,20,1,59,59,59,0
MI-515,Monroe City & County CoC,140,50,86,136,4,75,29,45,74,1,65,21,41,62,3,30,9,20,29,1,17,16,16,1
MI-516,"Norton Shores, Muskegon City & County CoC",466,96,49,145,321,254,48,30,78,176,212,48,19,67,145,79,15,5,20,59,24,18,18,6
MI-517,Jackson City & County CoC,323,107,197,304,19,121,59,43,102,19,202,48,154,202,0,64,14,50,64,0,13,1,1,12
MI-518,Livingston County CoC,121,85,23,108,13,46,32,1,33,13,75,53,22,75,0,23,17,6,23,0,4,3,3,1
MI-519,Holland/Ottawa County CoC,299,93,204,297,2,113,62,49,111,2,186,31,155,186,0,56,10,46,56,0,3,3,3,0
MI-523,Eaton County CoC,151,59,76,135,16,14,4,2,6,8,137,55,74,129,8,38,18,17,35,3,0,0,0,0
MN-500,Minneapolis/Hennepin County CoC,"3,281","1,920","1,105","3,025",256,"1,551",955,371,"1,326",225,"1,730",965,734,"1,699",31,495,267,219,486,9,775,670,670,105
MN-501,Saint Paul/Ramsey County CoC,"1,377",575,709,"1,284",93,693,389,215,604,89,684,186,494,680,4,239,66,172,238,1,233,181,181,52
