CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
IA-501,Iowa Balance of State CoC, 1860 ,736, 1,067 ,0, 1,803 ,57,818,10,461,0,304,10,0,765,10
IA-502,Des Moines/Polk County CoC,818,328,416,0,744,74,509,1,221,0,214,1,0,435,1,74,0
ID-500,Boise/Ada County CoC,754,482,219,0,701,53,566,7,375,7,140,0,0,515,7,51,0
ID-501,Idaho Balance of State CoC, 1214 ,288,493,0,781,433,609,6,142,0,130,0,0,272,0,337,6
IL-500,McHenry County CoC,196,60,133,0,193,3,123,0,60,0,60,0,0,120,0,3,0
IL-501, Rockford/DeKalb Winnebago Boone Counties CoC ,852,282,355,0,637,215,493,34,162,11,217,0,0,379,11,114,23
IL-502, Waukegan North Chicago/Lake County CoC ,450,328,104,13,445,5,259,0,210,0,31,0,13,254,0,5,0
IL-503, Champaign Urbana Rantoul/Champaign County CoC ,209,42,141,0,183,26,134,8,42,5,75,3,0,117,8,17,0
IL-504,Madison County CoC,196,78,104,0,182,14,44,0,24,0,6,0,0,30,0,14,0
IL-506, Joliet Bolingbrook/Will County CoC ,291,135,147,0,282,9,164,0,95,0,60,0,0,155,0,9,0
IL-507, Peoria Pekin/Fulton Tazewell Peoria Woodford Counties CoC ,376,238,129,0,367,9,220,0,158,0,56,0,0,214,0,6,0
IL-508, East St. Louis Belleville/St. Clair County CoC ,451,59,107,0,166,285,193,0,12,0,36,0,0,48,0,145,0
IL-510,Chicago CoC, 6710 , 1,783 , 3,165 ,40, 4,988 , 1,722 , 4,270 ,30, 1,506 ,0, 1
IL-511,Cook County CoC, 1242 ,430,564,15, 1,009 ,233,738,87,351,3,146,0,15,512,3,226
IL-512,Bloomington/Central Illinois CoC,668,291,140,21,452,216,361,1,221,1,30,0,21,272,1,89,0
IL-513,Springfield/Sangamon County CoC,251,114,128,0,242,9,160,0,114,0,37,0,0,151,0,9,0
IL-514,DuPage County CoC,641,168,440,0,608,33,286,4,130,4,126,0,0,256,4,30,0
IL-515,South Central Illinois CoC,124,74,50,0,124,0,33,1,32,1,1,0,0,33,1,0,0
IL-516,Decatur/Macon County CoC,210,94,61,3,158,52,122,0,62,0,11,0,3,76,0,46,0
IL-517, Aurora Elgin/Kane County CoC ,431,258,130,0,388,43,313,0,221,0,56,0,0,277,0,36,0
IL-518, Rock Island Moline/Northwestern Illinois CoC ,263,94,141,0,235,28,129,2,75,1,40,1,0,115,2,14,0
IL-519,West Central Illinois CoC,172,59,90,0,149,23,69,1,41,0,22,1,0,63,1,6,0
IL-520,Southern Illinois CoC,411,241,100,0,341,70,158,0,101,0,26,0,0,127,0,31,0
IN-502,Indiana Balance of State CoC, 4612 , 2,089 , 1,807 ,0, 3,896 ,716, 2,177 ,67, 1,051 ,27,639,24
IN-503,Indianapolis CoC, 1647 ,845,604,25, 1,474 ,173, 1,139 ,0,504,0,442,0,25,971,0
KS-502,Wichita/Sedgwick County CoC,550,339,119,17,475,75,368,2,234,2,45,0,17,296,2,72,0
KS-503,Topeka/Shawnee County CoC,577,447,80,0,527,50,405,0,338,0,22,0,0,360,0,45,0
KS-505, Overland Park Shawnee/Johnson County CoC ,288,97,123,0,220,68,48,1,21,0,4,0,0,25,0,23,1
KS-507,Kansas Balance of State CoC, 1043 ,414,568,0,982,61,561,0,262,0,248,0,0,510,0,51,0
KY-500,Kentucky Balance of State CoC, 2328 , 1,055 ,572,0, 1,627 ,701, 1,340 ,36,677,36,135,0,0,812
KY-501,Louisville-Jefferson County CoC, 1532 ,676,694,10, 1,380 ,152, 1,034 ,20,507,18,374,0,10,891,18
KY-502,Lexington-Fayette County CoC, 1370 ,401,911,0, 1,312 ,58,908,9,371,9,481,0,0,852,9,56
LA-500,Lafayette/Acadiana CoC,518,194,245,0,439,79,325,0,120,0,126,0,0,246,0,79,0
LA-502, Shreveport Bossier/Northwest Louisiana CoC ,804,169,448,9,626,178,477,4,131,0,159,4,9,299,4,178,0
LA-503,New Orleans/Jefferson Parish CoC, 4903 ,601,848,15, 1,464 , 3,439 , 4,325 ,30,532,8,384,13,15,931
LA-505,Monroe/Northeast Louisiana CoC,257,73,117,8,198,59,119,2,44,2,14,0,8,66,2,53,0
LA-506,Slidell/Southeast Louisiana CoC,276,85,152,0,237,39,153,0,61,0,63,0,0,124,0,29,0
LA-507,Alexandria/Central Louisiana CoC,188,52,121,0,173,15,156,0,46,0,95,0,0,141,0,15,0
LA-509,Louisiana Balance of State CoC,826,201,466,3,670,156,767,15,198,11,430,1,3,631,12,136,3
MA-500,Boston CoC, 5607 , 4,142 , 1,278 ,6, 5,426 ,181, 2,430 ,15, 1,307 ,0,936,15
MA-502,Lynn CoC,414,346,54,0,400,14,106,3,49,0,43,0,0,92,0,14,3
MA-503,Cape Cod Islands CoC,364,221,95,0,316,48,221,4,83,0,95,0,0,178,0,43,4
MA-504,Springfield/Hampden County CoC, 2444 , 2,071 ,326,12, 2,409 ,35,382,10,223,3,112,7,12,347,10
MA-505,New Bedford CoC,374,104,250,0,354,20,258,0,30,0,208,0,0,238,0,20,0
MA-506,Worcester City & County CoC, 1572 ,968,518,13, 1,499 ,73,551,29,183,22,285,4,13,481,26,70
MA-507, Pittsfield/Berkshire Franklin Hampshire Counties CoC ,717,305,353,0,658,59,484,0,109,0,316,0,0,425,0,59,0
MA-508,Lowell CoC,534,400,106,0,506,28,189,0,132,0,29,0,0,161,0,28,0
MA-509,Cambridge CoC,485,260,153,0,413,72,357,0,192,0,93,0,0,285,0,72,0
MA-510, Gloucester Haverhill Salem/Essex County CoC ,993,839,106,10,955,38,266,0,179,0,39,0,10,228,0,38,0
MA-511, Quincy Brockton Weymouth Plymouth City and County CoC , 1,424 , 1,267 ,97,0, 1,364 ,60,407,1,296,1,51,0,0,347
MA-515,Fall River CoC,307,161,124,0,285,22,121,0,47,0,52,0,0,99,0,22,0
MA-516,Massachusetts Balance of State CoC, 1872 , 1,318 ,505,12, 1,835 ,37,354,0,202,0,105,0,12,319,0
MA-517,Somerville CoC,145,102,34,0,136,9,90,0,59,0,22,0,0,81,0,9,0
MA-519, Attleboro Taunton/Bristol County CoC ,249,148,75,0,223,26,73,0,28,0,19,0,0,47,0,26,0
MD-500,Cumberland/Allegany County CoC,110,51,45,0,96,14,89,0,34,0,41,0,0,75,0,14,0
MD-501,Baltimore CoC, 3854 ,867, 1,154 ,38, 2,059 , 1,795 , 2,926 ,0,711,0,795,0,38
MD-502,Harford County CoC,189,111,66,0,177,12,78,0,45,0,21,0,0,66,0,12,0
MD-503,Annapolis/Anne Arundel County CoC,373,221,90,0,311,62,213,0,138,0,13,0,0,151,0,62,0
MD-504,Howard County CoC,230,73,75,0,148,82,114,0,24,0,17,0,0,41,0,73,0
MD-505,Baltimore County CoC,800,425,97,0,522,278,415,0,189,0,31,0,0,220,0,195,0
MD-506,Carroll County CoC,167,94,14,23,131,36,113,0,51,0,3,0,23,77,0,36,0
MD-507,Cecil County CoC,187,108,63,0,171,16,151,0,84,0,51,0,0,135,0,16,0
MD-508, Charles Calvert St.Mary's Counties CoC , 1,156 ,234,117,0,351,805,285,0,132,0,60,0,0,192,0,93
MD-509,Frederick City & County CoC,285,80,133,0,213,72,169,0,70,0,29,0,0,99,0,70,0
MD-510,Garrett County CoC,18,12,4,0,16,2,9,0,3,0,4,0,0,7,0,2,0
MD-511,Mid-Shore Regional CoC,80,52,21,0,73,7,49,0,36,0,6,0,0,42,0,7,0
MD-512,Hagerstown/Washington County CoC,161,121,5,0,126,35,88,0,59,0,5,0,0,64,0,24,0
MD-513, Wicomico Somerset Worcester Counties CoC ,221,174,47,0,221,0,148,0,139,0,9,0,0,148,0,0,0
MD-600,Prince George's County CoC,641,250,225,0,475,166,279,0,74,0,39,0,0,113,0,166,0
MD-601,Montgomery County CoC,982,526,295,31,852,130,601,1,328,0,112,1,31,471,1,130,0
ME-500,Maine Statewide CoC, 2393 ,975, 1,373 ,12, 2,360 ,33, 1,287 ,34,688,11,554,21,12, 1
MI-500,Michigan Balance of State CoC, 2255 ,617, 1,219 ,0, 1,836 ,419,832,64,288,30,261,28,0,549,58
MI-501,Detroit CoC, 3115 , 1,631 , 1,110 ,21, 2,762 ,353, 2,565 ,40, 1,259 ,15,932,25
MI-502, Dearborn Dearborn Heights Westland/Wayne County CoC ,476,176,271,10,457,19,179,13,46,7,108,6,10,164,13,15,0
MI-503, St. Clair Shores Warren/Macomb County CoC ,607,209,92,0,301,306,491,5,160,2,49,3,0,209,5,282,0
MI-504, Pontiac Royal Oak/Oakland County CoC ,743,247,259,0,506,237,591,7,214,6,148,1,0,362,7,229,0
MI-505,Flint/Genesee County CoC,435,188,101,0,289,146,269,5,102,2,36,3,0,138,5,131,0
MI-506, Grand Rapids Wyoming/Kent County CoC ,712,282,400,0,682,30,251,23,196,8,25,15,0,221,23,30,0
MI-507, Portage Kalamazoo City & County CoC ,729,317,391,0,708,21,265,6,176,6,68,0,0,244,6,21,0
MI-508, Lansing East Lansing/Ingham County CoC ,470,298,102,0,400,70,334,4,207,1,69,3,0,276,4,58,0
MI-509,Washtenaw County CoC,381,214,124,0,338,43,216,1,128,1,45,0,0,173,1,43,0
MI-510,Saginaw City & County CoC,402,151,171,3,325,77,243,10,74,4,89,6,3,166,10,77,0
MI-511,Lenawee County CoC,118,52,44,0,96,22,44,2,31,1,7,0,0,38,1,6,1
MI-512, Grand Traverse Antrim Leelanau Counties CoC ,316,140,128,0,268,48,174,17,87,2,39,15,0,126,17,48,0
MI-513, Marquette Alger Counties CoC ,80,63,13,0,76,4,61,0,55,0,2,0,0,57,0,4,0
MI-514,Battle Creek/Calhoun County CoC,216,119,41,0,160,56,167,0,83,0,30,0,0,113,0,54,0
MI-515,Monroe City & County CoC,113,78,31,0,109,4,81,7,53,5,24,2,0,77,7,4,0
MI-516, Norton Shores Muskegon City & County CoC ,457,139,86,0,225,232,300,27,102,1,55,0,0,157,1,143,26
MI-517,Jackson City & County CoC,256,63,137,0,200,56,107,1,41,0,10,1,0,51,1,56,0
MI-518,Livingston County CoC,150,23,56,0,79,71,68,15,10,4,12,4,0,22,8,46,7
MI-519,Holland/Ottawa County CoC,322,158,161,0,319,3,124,0,87,0,34,0,0,121,0,3,0
MI-523,Eaton County CoC,239,56,78,0,134,105,35,0,6,0,5,0,0,11,0,24,0
MN-500,Minneapolis/Hennepin County CoC, 3285 , 2,094 , 1,047 ,0, 3,141 ,144, 1,480 ,23,992,11,350,12,0
MN-501,Saint Paul/Ramsey County CoC, 1218 ,516,581,10, 1,107 ,111,661,22,352,3,192,19,10,554,22,107
MN-502,Rochester/Southeast Minnesota CoC,379,193,166,0,359,20,151,7,107,4,24,0,0,131,4,20,3
MN-503, Dakota Anoka Washington Scott Carver Counties ,853,260,407,0,667,186,304,2,89,1,83,1,0,172,2,132,0
MN-504,Northeast Minnesota CoC,178,25,55,0,80,98,61,1,16,1,8,0,0,24,1,37,0
MN-505,St. Cloud/Central Minnesota CoC,547,171,236,0,407,140,316,49,93,9,119,38,0,212,47,104,2
MN-506,Northwest Minnesota CoC,301,104,146,0,250,51,108,15,46,11,36,4,0,82,15,26,0
MN-508,Moorhead/West Central Minnesota CoC,254,136,88,0,224,30,129,0,90,0,23,0,0,113,0,16,0
