CoC Number,CoC Name,CoC Category,"Overall Homeless 2019","Overall Homeless - Under 18 2019","Overall Homeless - Age 18 to 24 2019","Overall Homeless - Over 24 2019","Overall Homeless - Female 2019","Overall Homeless - Male 2019","Overall Homeless - Transgender 2019","Overall Homeless - Gender Non-Conforming 2019","Overall Homeless - Non-Hispanic/Non-Latino, 2019","Overall Homeless - Hispanic/Latino, 2019","Overall Homeless - White, 2019","Overall Homeless - Black or African American, 2019","Overall Homeless - Asian, 2019","Overall Homeless - American Indian or Alaska Native, 2019","Overall Homeless - Native Hawaiian or Other Pacific Islander 2019","Overall Homeless - Multiple Races 2019"
LA-503,New Orleans/Jefferson Parish CoC, 1981 ,220,290, 1,471 ,593,49,92,452,555,163,74,318,15,0,15, 1
LA-505,Monroe/Northeast Louisiana CoC,220,75,33,112,63,15,8,40,116,52,22,42,3,0,3,182,67
LA-506,Slidell/Southeast Louisiana CoC,262,63,16,183,84,10,2,72,135,47,8,80,0,0,0,219,57
LA-507,Alexandria/Central Louisiana CoC,141,21,1,119,55,0,0,55,73,21,1,51,0,0,0,128,21
LA-509,Louisiana Balance of State CoC,876,115,72,689,304,81,13,210,537,34,58,445,0,0,0,841,115
MA-500,Boston CoC, 5987 , 2,405 ,413, 3,169 , 4,675 , 2,267 ,373, 2,035 , 1,108 ,138,22
MA-502,Lynn CoC,382,152,47,183,320,146,39,135,52,6,3,43,0,0,0,372,152
MA-503,Cape Cod Islands CoC,381,90,56,235,246,84,26,136,49,0,13,36,0,0,0,295,84
MA-504,Springfield/Hampden County CoC, 2690 , 1,386 ,285, 1,019 , 2,424 , 1,312 ,244,868,224,72,38,114,7
MA-505,New Bedford CoC,349,68,46,235,120,51,11,58,213,17,32,164,0,0,0,333,68
MA-506,Worcester City & County CoC, 1796 ,802,176,818, 1,358 ,705,134,519,376,96,37,243,13,0,13, 1
MA-507, Pittsfield/Berkshire Franklin Hampshire Counties CoC ,753,138,95,520,386,123,69,194,338,15,21,302,0,0,0,724,138
MA-508,Lowell CoC,588,231,66,291,434,176,62,196,119,55,4,60,0,0,0,553,231
MA-509,Cambridge CoC,551,100,37,414,297,42,21,234,207,58,16,133,0,0,0,504,100
MA-510, Gloucester Haverhill Salem/Essex County CoC , 1,487 ,687,49,751, 1,290 ,647,45,598,112,40,4,68,11,0,11
MA-511, Quincy Brockton Weymouth Plymouth City and County CoC , 1,643 ,674,147,822, 1,508 ,647,137,724,95,27,10,58,0,0,0
MA-515,Fall River CoC,354,98,84,172,159,54,26,79,117,44,20,53,0,0,0,276,98
MA-516,Massachusetts Balance of State CoC, 3900 , 1,963 ,401, 1,536 , 3,373 , 1,760 ,354, 1,259 ,453,203,43,207
MA-517,Somerville CoC,154,37,24,93,94,28,12,54,56,9,12,35,0,0,0,150,37
MA-519, Attleboro Taunton/Bristol County CoC ,222,85,49,88,151,76,23,52,57,9,25,23,0,0,0,208,85
MD-500,Cumberland/Allegany County CoC,120,35,11,74,65,15,8,42,40,18,2,20,0,0,0,105,33
MD-501,Baltimore CoC, 2567 ,396,143, 2,028 ,956,126,57,773, 1,279 ,246,72,961,37,0,37
MD-502,Harford County CoC,223,87,22,114,141,53,14,74,76,34,8,34,0,0,0,217,87
